"id","source","target","type","fidelity","likelihood"
"M-023->operates_at->B-003","M-023","B-003","operates_at","",""
"M-023->operates_at->B-005","M-023","B-005","operates_at","",""
"M-023->emits->A-002","M-023","A-002","emits","euphemism","high"
"M-023->emits->A-008","M-023","A-008","emits","distortion","medium"
"M-023->amplifies->M-001","M-023","M-001","amplifies","",""
"M-024->operates_at->B-013","M-024","B-013","operates_at","",""
"M-024->operates_at->B-002","M-024","B-002","operates_at","",""
"M-024->operates_at->B-004","M-024","B-004","operates_at","",""
"M-024->emits->A-002","M-024","A-002","emits","euphemism","high"
"M-024->emits->A-004","M-024","A-004","emits","noise","medium"
"M-024->amplifies->M-008","M-024","M-008","amplifies","",""
"M-024->amplifies->M-004","M-024","M-004","amplifies","",""
"A-002->instantiates->P-001","A-002","P-001","instantiates","",""
"A-013->instantiates->P-001","A-013","P-001","instantiates","",""
"M-001->instantiates->P-001","M-001","P-001","instantiates","",""
"M-004->instantiates->P-001","M-004","P-001","instantiates","",""
"M-017->instantiates->P-001","M-017","P-001","instantiates","",""
"A-003->instantiates->P-002","A-003","P-002","instantiates","",""
"A-004->instantiates->P-002","A-004","P-002","instantiates","",""
"M-002->instantiates->P-002","M-002","P-002","instantiates","",""
"M-006->instantiates->P-002","M-006","P-002","instantiates","",""
"M-010->instantiates->P-002","M-010","P-002","instantiates","",""
"M-013->instantiates->P-002","M-013","P-002","instantiates","",""
"A-002->instantiates->P-003","A-002","P-003","instantiates","",""
"A-009->instantiates->P-003","A-009","P-003","instantiates","",""
"M-008->instantiates->P-003","M-008","P-003","instantiates","",""
"M-024->instantiates->P-003","M-024","P-003","instantiates","",""
"A-002->instantiates->P-004","A-002","P-004","instantiates","",""
"A-005->instantiates->P-004","A-005","P-004","instantiates","",""
"M-004->instantiates->P-004","M-004","P-004","instantiates","",""
"M-017->instantiates->P-004","M-017","P-004","instantiates","",""
"I-001->targets->M-006","I-001","M-006","targets","",""
"I-001->targets->B-001","I-001","B-001","targets","",""
"I-001->mitigates->P-002","I-001","P-002","mitigates","",""
"I-001->mitigates->L-003","I-001","L-003","mitigates","",""
"I-002->targets->M-004","I-002","M-004","targets","",""
"I-002->targets->B-004","I-002","B-004","targets","",""
"I-002->targets->B-009","I-002","B-009","targets","",""
"I-002->mitigates->P-001","I-002","P-001","mitigates","",""
"I-002->mitigates->P-004","I-002","P-004","mitigates","",""
"I-003->targets->M-001","I-003","M-001","targets","",""
"I-003->targets->M-010","I-003","M-010","targets","",""
"I-003->targets->B-007","I-003","B-007","targets","",""
"I-003->targets->B-008","I-003","B-008","targets","",""
"I-003->mitigates->P-001","I-003","P-001","mitigates","",""
"I-003->mitigates->P-002","I-003","P-002","mitigates","",""
"I-003->mitigates->L-003","I-003","L-003","mitigates","",""
"I-004->targets->M-011","I-004","M-011","targets","",""
"I-004->mitigates->L-001","I-004","L-001","mitigates","",""
"I-005->targets->M-003","I-005","M-003","targets","",""
"I-005->targets->B-002","I-005","B-002","targets","",""
"I-005->mitigates->P-003","I-005","P-003","mitigates","",""
"I-006->targets->M-019","I-006","M-019","targets","",""
"I-006->mitigates->L-002","I-006","L-002","mitigates","",""
"I-006->targets->B-006","I-006","B-006","targets","",""
"I-007->targets->M-024","I-007","M-024","targets","",""
"I-007->targets->B-013","I-007","B-013","targets","",""
"I-007->mitigates->L-003","I-007","L-003","mitigates","",""
"I-008->targets->M-005","I-008","M-005","targets","",""
"I-008->targets->B-013","I-008","B-013","targets","",""
"I-009->targets->B-014","I-009","B-014","targets","",""
"I-009->targets->M-016","I-009","M-016","targets","",""
"I-010->targets->B-003","I-010","B-003","targets","",""
"I-010->targets->M-009","I-010","M-009","targets","",""
"I-010->targets->M-020","I-010","M-020","targets","",""
"I-011->targets->B-003","I-011","B-003","targets","",""
"I-011->targets->M-017","I-011","M-017","targets","",""
"I-011->targets->M-023","I-011","M-023","targets","",""
"I-012->targets->M-023","I-012","M-023","targets","",""
"I-012->targets->B-005","I-012","B-005","targets","",""
"I-012->targets->B-003","I-012","B-003","targets","",""
"I-013->targets->B-005","I-013","B-005","targets","",""
"I-013->targets->M-012","I-013","M-012","targets","",""
"I-014->targets->M-012","I-014","M-012","targets","",""
"I-014->targets->B-005","I-014","B-005","targets","",""
"I-015->targets->B-010","I-015","B-010","targets","",""
"I-015->targets->B-012","I-015","B-012","targets","",""
"I-015->targets->M-007","I-015","M-007","targets","",""
"I-016->targets->B-011","I-016","B-011","targets","",""
"I-016->targets->M-021","I-016","M-021","targets","",""
"I-017->targets->M-002","I-017","M-002","targets","",""
"I-017->targets->B-010","I-017","B-010","targets","",""
"I-017->mitigates->P-002","I-017","P-002","mitigates","",""
